latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,stateName,countyName,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,hwm_label,files
40.377583,-74.948162,40.377583,-74.948162,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Tape,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJHUN31745,"Cherry Street near Lambertville, NJ",NJ,Hunterdon County,No,40.377046,-74.947826,41537,Alexauken Creek,31745,312,5,2,Seed line on south side of American Legion building on Cherry Street,9/24/2021 4:00,74.5,2,2,N/A,24005,2,8.4,3,,Riverine,9/15/2021 4:00,0,2,893,893,HWM 2,System.Collections.Generic.HashSet`1[STNDB.file]
40.36779,-74.942537,40.36779,-74.942537,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Sally Carullo,Sally Carullo,NJHUN31722,"North Franklin Street and Coryell Street in Lambertville, NJ",NJ,Hunterdon County,No,40.367877,-74.941911,41540,Swan Creek,31722,312,5,3,Seed line on wall leading to yard on Coryell Street,9/24/2021 4:00,77.8,2,2,N/A,23999,4,1.2,3,,Riverine,9/13/2021 4:00,0,2,1973,1973,HWM 1,System.Collections.Generic.HashSet`1[STNDB.file]
40.367846,-74.942677,40.367846,-74.942677,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Sally Carullo,Sally Carullo,NJHUN31722,"North Franklin Street and Coryell Street in Lambertville, NJ",NJ,Hunterdon County,No,40.367877,-74.941911,41542,Swan Creek,31722,312,5,3,Seed line on side of porch on Coryell Street,9/24/2021 4:00,77.6,2,2,N/A,24000,4,2.3,3,,Riverine,9/13/2021 4:00,0,2,1973,1973,HWM 2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5381957,-74.5905818,40.5381957,-74.5905818,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31743,"South 6th Avenue and Roosevelt Avenue in Manville, NJ",NJ,Somerset County,No,40.5380527,-74.5902831,41543,Royce Brook,31743,312,5,3,"Seed line on north side of Holy Ghost Church, on middle gutter vertical drain, in between 2nd and 3rd window (from front)",9/19/2021 4:00,44.4,2,2,N/A,24008,8,5.8,3,,Riverine,9/15/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.367887,-74.942827,40.367887,-74.942827,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Jerilyn Collenburg,Jerilyn Collenburg,NJHUN31722,"North Franklin Street and Coryell Street in Lambertville, NJ",NJ,Hunterdon County,No,40.367877,-74.941911,41545,Swan Creek,31722,312,5,3,Seed line on telephone pole bt107lf on Coryell Street,9/24/2021 4:00,77.9,2,2,N/A,24001,6,1.2,3,,Riverine,9/13/2021 4:00,0,2,893,893,HWM 3,System.Collections.Generic.HashSet`1[STNDB.file]
40.5382866,-74.5909422,40.5382866,-74.5909422,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31743,"South 6th Avenue and Roosevelt Avenue in Manville, NJ",NJ,Somerset County,No,40.5380527,-74.5902831,41547,Royce Brook,31743,312,5,3,Seed line on side door of home on 7th Street and Roosevelt Avenue,9/19/2021 4:00,44.4,2,2,N/A,24007,8,2.4,3,,Riverine,9/15/2021 4:00,0,2,2045,2045,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5774742,-74.6170183,40.5774742,-74.6170183,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31435,"Brookside Ave in Somerville, NJ",NJ,Somerset County,No,40.5774209,-74.6169409,41548,Peters Brook,31435,312,2,2,"Debris in grass, approximately 15 ft from corner of bankward east side of building.",9/15/2021 4:00,58.4,2,2,N/A,24011,7,0,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.5769661,-74.6163132,40.5769661,-74.6163132,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31435,"Brookside Ave in Somerville, NJ",NJ,Somerset County,No,40.5774209,-74.6169409,41549,Peters Brook,31435,312,2,2,"Debris line at entrance area to building on Brookside Ave, to right side of stairs.",9/15/2021 4:00,58.3,2,2,N/A,24010,7,0,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.5769091,-74.616271,40.5769091,-74.616271,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31435,"Brookside Ave in Somerville, NJ",NJ,Somerset County,No,40.5774209,-74.6169409,41550,Peters Brook,31435,312,5,2,Seed line on foundation of building off of Brookside Avenue.,9/15/2021 4:00,58.3,2,2,N/A,24009,4,0.8,3,,Riverine,9/9/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.53877,-74.583674,40.53877,-74.583674,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Not marked,Phone/Car GPS,NAD83,Jaclynne Polcino,Jaclynne Polcino,NJSOM31742,"Huff Avenue in Manville, NJ",NJ,Somerset County,No,40.538383,-74.584264,41551,Royce Brook,31742,312,5,2,"Seed line on house siding on Huff Avenue, confirmed by owner",9/19/2021 4:00,44.5,2,2,N/A,24027,8,2.6,3,,Riverine,9/15/2021 4:00,0,2,2045,2045,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
