City,Model,Accuracy,ROC_AUC,CrossVal_AUC
Hoboken,Random Forest,0.8532818532818532,0.9435407984944212,0.9572155452553336
Hoboken,XGBoost,0.888030888030888,0.9484473719585966,0.960421066016085
Jersey City,Random Forest,0.8406326034063261,0.9096015791576788,0.9021488226829458
Jersey City,XGBoost,0.8068734793187348,0.9079387698589256,0.9020838882139628
