cell_id,centroid_x,centroid_y,elevation_m,rainfall_inches,dist_to_flood_zone_m,in_fema_flood_zone,flooded
1,580749.4956661405,4510056.44322983,1.442964792251587,18.830000000000002,0.0,1,1
2,580749.4956661405,4510106.44322983,1.343903660774231,18.830000000000002,0.0,1,1
4,580749.4956661405,4510206.44322983,1.9245613813400269,18.830000000000002,0.0,1,1
5,580749.4956661405,4510256.44322983,1.2888524532318115,18.830000000000002,0.0,1,1
6,580749.4956661405,4510306.44322983,1.5533643960952759,18.830000000000002,0.0,1,1
7,580749.4956661405,4510356.44322983,2.1418070793151855,18.830000000000002,0.0,1,1
11,580799.4956661405,4510006.44322983,1.6678131818771362,18.830000000000002,0.0,1,1
12,580799.4956661405,4510056.44322983,1.952783226966858,18.830000000000002,0.0,1,1
13,580799.4956661405,4510106.44322983,1.5899863243103027,18.830000000000002,0.0,1,1
14,580799.4956661405,4510156.44322983,1.8208961486816406,18.830000000000002,0.0,1,1
15,580799.4956661405,4510206.44322983,0.8058110475540161,18.830000000000002,0.0,1,1
16,580799.4956661405,4510256.44322983,0.7001855373382568,18.830000000000002,0.0,1,1
17,580799.4956661405,4510306.44322983,1.3401967287063599,18.830000000000002,0.0,1,1
18,580799.4956661405,4510356.44322983,2.008763074874878,18.830000000000002,0.0,1,1
19,580799.4956661405,4510406.44322983,2.3740525245666504,18.830000000000002,0.0,1,1
21,580849.4956661405,4509906.44322983,5.965729713439941,18.830000000000002,10.748417663267913,0,0
22,580849.4956661405,4509956.44322983,1.6698713302612305,18.830000000000002,0.0,1,1
23,580849.4956661405,4510006.44322983,1.1731915473937988,18.830000000000002,0.0,1,1
24,580849.4956661405,4510056.44322983,1.2213119268417358,18.830000000000002,0.0,1,1
25,580849.4956661405,4510106.44322983,1.3723251819610596,18.830000000000002,0.0,1,1
26,580849.4956661405,4510156.44322983,1.2865872383117676,18.830000000000002,0.0,1,1
27,580849.4956661405,4510206.44322983,0.9099674820899963,18.830000000000002,0.0,1,1
28,580849.4956661405,4510256.44322983,1.1257225275039673,18.830000000000002,0.0,1,1
29,580849.4956661405,4510306.44322983,2.9056742191314697,18.830000000000002,0.0,1,1
30,580849.4956661405,4510356.44322983,2.0813148021698,18.830000000000002,0.0,1,1
31,580849.4956661405,4510406.44322983,1.2046313285827637,18.830000000000002,0.0,1,1
32,580849.4956661405,4510456.44322983,1.8864470720291138,18.830000000000002,0.0,1,1
38,580899.4956661405,4509906.44322983,1.7681528329849243,18.830000000000002,0.0,1,1
39,580899.4956661405,4509956.44322983,1.0750786066055298,18.830000000000002,0.0,1,1
40,580899.4956661405,4510006.44322983,1.3452194929122925,18.830000000000002,0.0,1,1
41,580899.4956661405,4510056.44322983,1.0122731924057007,18.830000000000002,0.0,1,1
42,580899.4956661405,4510106.44322983,1.2443852424621582,18.830000000000002,0.0,1,1
43,580899.4956661405,4510156.44322983,1.2912698984146118,18.830000000000002,0.0,1,1
44,580899.4956661405,4510206.44322983,1.4640648365020752,18.830000000000002,0.0,1,1
45,580899.4956661405,4510256.44322983,1.1855158805847168,18.830000000000002,0.0,1,1
46,580899.4956661405,4510306.44322983,0.7582529187202454,18.830000000000002,0.0,1,1
47,580899.4956661405,4510356.44322983,0.8087819814682007,18.830000000000002,0.0,1,1
48,580899.4956661405,4510406.44322983,0.5787246823310852,18.830000000000002,0.0,1,1
49,580899.4956661405,4510456.44322983,1.1725245714187622,18.830000000000002,0.0,1,1
50,580899.4956661405,4510506.44322983,2.060786247253418,18.830000000000002,0.0,1,1
51,580899.4956661405,4510556.44322983,1.9230889081954956,18.830000000000002,0.0,1,1
52,580899.4956661405,4510606.44322983,2.1751396656036377,18.830000000000002,0.0,1,1
53,580899.4956661405,4510656.44322983,2.546804904937744,18.830000000000002,0.0,1,1
54,580899.4956661405,4510706.44322983,1.9470758438110352,18.830000000000002,0.0,1,1
59,580949.4956661405,4509956.44322983,1.4903392791748047,18.830000000000002,0.0,1,1
60,580949.4956661405,4510006.44322983,1.5080697536468506,18.830000000000002,0.0,1,1
61,580949.4956661405,4510056.44322983,1.7765617370605469,18.830000000000002,0.0,1,1
62,580949.4956661405,4510106.44322983,1.5486136674880981,18.830000000000002,0.0,1,1
63,580949.4956661405,4510156.44322983,1.4039702415466309,18.830000000000002,0.0,1,1
64,580949.4956661405,4510206.44322983,1.2904044389724731,18.830000000000002,0.0,1,1
65,580949.4956661405,4510256.44322983,1.1275017261505127,18.830000000000002,0.0,1,1
66,580949.4956661405,4510306.44322983,1.3590539693832397,18.830000000000002,0.0,1,1
67,580949.4956661405,4510356.44322983,1.5437744855880737,18.830000000000002,0.0,1,1
68,580949.4956661405,4510406.44322983,1.0040122270584106,18.830000000000002,0.0,1,1
69,580949.4956661405,4510456.44322983,1.5121734142303467,18.830000000000002,0.0,1,1
70,580949.4956661405,4510506.44322983,1.1745165586471558,18.830000000000002,0.0,1,1
71,580949.4956661405,4510556.44322983,1.029336929321289,18.830000000000002,0.0,1,1
72,580949.4956661405,4510606.44322983,1.7486422061920166,18.830000000000002,0.0,1,1
73,580949.4956661405,4510656.44322983,1.935720682144165,18.830000000000002,0.0,1,1
74,580949.4956661405,4510706.44322983,1.4380477666854858,18.830000000000002,0.0,1,1
75,580949.4956661405,4510756.44322983,2.5130980014801025,18.830000000000002,0.0,1,1
76,580949.4956661405,4510806.44322983,2.3979575634002686,18.830000000000002,0.0,1,1
77,580949.4956661405,4510856.44322983,2.4009814262390137,18.830000000000002,0.0,1,1
80,580999.4956661405,4509956.44322983,1.3260064125061035,18.830000000000002,0.0,1,1
81,580999.4956661405,4510006.44322983,1.2124096155166626,18.830000000000002,0.0,1,1
82,580999.4956661405,4510056.44322983,1.3571600914001465,18.830000000000002,0.0,1,1
83,580999.4956661405,4510106.44322983,1.18447744846344,18.830000000000002,0.0,1,1
84,580999.4956661405,4510156.44322983,1.1614348888397217,18.830000000000002,0.0,1,1
85,580999.4956661405,4510206.44322983,1.2244006395339966,18.830000000000002,0.0,1,1
