cell_id,centroid_x,centroid_y,elevation_m,rainfall_inches,dist_to_flood_zone_m,in_fema_flood_zone,flooded
2,574661.9593753648,4506891.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
3,574661.9593753648,4506941.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
7,574711.9593753648,4506741.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
8,574711.9593753648,4506791.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
9,574711.9593753648,4506841.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
10,574711.9593753648,4506891.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
11,574711.9593753648,4506941.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
12,574711.9593753648,4506991.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
16,574761.9593753648,4506541.033723386,-1.1299999952316284,18.830000000000002,23.444888128015833,0,0
17,574761.9593753648,4506591.033723386,-1.1299999952316284,18.830000000000002,2.886187588337562,0,0
18,574761.9593753648,4506641.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
19,574761.9593753648,4506691.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
20,574761.9593753648,4506741.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
21,574761.9593753648,4506791.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
22,574761.9593753648,4506841.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
23,574761.9593753648,4506891.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
24,574761.9593753648,4506941.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
25,574761.9593753648,4506991.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
26,574761.9593753648,4507041.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
34,574811.9593753648,4506391.033723386,-1.1299999952316284,18.830000000000002,39.54314609336478,0,0
35,574811.9593753648,4506441.033723386,-1.1299999952316284,18.830000000000002,18.98444555368651,0,0
36,574811.9593753648,4506491.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
37,574811.9593753648,4506541.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
38,574811.9593753648,4506591.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
39,574811.9593753648,4506641.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
40,574811.9593753648,4506691.033723386,-1.1299999952316284,18.830000000000002,0.0,1,1
